PosX,PosY,PosZ,SessionID,PlayerID,DateTime,
29.6356,0.1846794,1.447207,79870,97833,21/12/2020 13:08:43,
29.86098,0.2224405,1.181419,79870,97833,21/12/2020 13:08:43,
30.0978,0.2532595,0.9022576,79870,97833,21/12/2020 13:08:44,
30.08168,0.254511,0.8588614,79870,97833,21/12/2020 13:08:44,
29.58804,0.2246072,0.4759477,79870,97833,21/12/2020 13:08:44,
29.05629,0.1736546,0.2850318,79870,97833,21/12/2020 13:08:44,
29.04193,0.1722832,0.2797784,79870,97833,21/12/2020 13:08:44,
29.06844,0.1828467,0.1171907,79870,97833,21/12/2020 13:08:44,
29.32208,0.2228969,-0.1294843,79870,97833,21/12/2020 13:08:45,
29.50129,0.24761,-0.2826488,79870,97833,21/12/2020 13:08:45,
29.50129,0.24761,-0.2826488,79870,97833,21/12/2020 13:08:45,
29.50129,0.24761,-0.2826488,79870,97833,21/12/2020 13:08:45,
29.50129,0.2476102,-0.2826488,79870,97833,21/12/2020 13:08:45,
29.71368,0.2658781,-0.1059801,79870,97833,21/12/2020 13:08:45,
29.89528,0.274418,0.1493184,79870,97833,21/12/2020 13:08:45,
30.00186,0.283239,0.1588171,79870,97833,21/12/2020 13:08:46,
30.56189,0.2988739,-0.06238947,79870,97833,21/12/2020 13:08:46,
30.94849,0.3022639,-0.1705775,79870,97833,21/12/2020 13:08:46,
31.71282,0.3217098,-0.06287562,79870,97833,21/12/2020 13:08:46,
31.81413,0.3246269,-0.0340987,79870,97833,21/12/2020 13:08:46,
31.81413,0.324627,-0.0340987,79870,97833,21/12/2020 13:08:46,
32.04714,0.3256487,0.1712959,79870,97833,21/12/2020 13:08:46,
32.9594,0.3056363,0.9764434,79870,97833,21/12/2020 13:08:47,
33.93462,0.308851,1.29133,79870,97833,21/12/2020 13:08:47,
34.52443,0.3709216,1.413403,79870,97833,21/12/2020 13:08:47,
34.60495,0.3776205,1.48549,79870,97833,21/12/2020 13:08:47,
35.06047,0.415518,1.893296,79870,97833,21/12/2020 13:08:47,
35.06047,0.4155184,1.893296,79870,97833,21/12/2020 13:08:47,
35.0821,0.4172504,1.914284,79870,97833,21/12/2020 13:08:48,
35.70679,0.5185605,2.521242,79870,97833,21/12/2020 13:08:48,
36.47405,0.7414168,3.363424,79870,97833,21/12/2020 13:08:48,
36.59613,0.7540054,4.496575,79870,97833,21/12/2020 13:08:48,
35.82603,0.5526525,5.089927,79870,97833,21/12/2020 13:08:48,
34.78193,0.4560047,5.175477,79870,97833,21/12/2020 13:08:48,
33.57409,0.4472083,5.320346,79870,97833,21/12/2020 13:08:48,
32.54096,0.536534,5.525245,79870,97833,21/12/2020 13:08:49,
31.65668,0.6498899,6.240578,79870,97833,21/12/2020 13:08:49,
31.26784,0.6967303,7.21161,79870,97833,21/12/2020 13:08:49,
30.31242,0.5629138,7.936797,79870,97833,21/12/2020 13:08:49,
29.46183,0.5634966,8.558533,79870,97833,21/12/2020 13:08:49,
28.60542,0.5010755,9.367947,79870,97833,21/12/2020 13:08:49,
28.45175,0.4123564,10.24547,79870,97833,21/12/2020 13:08:49,
28.37408,0.3682971,10.38068,79870,97833,21/12/2020 13:08:50,
28.37408,0.3682971,10.38068,79870,97833,21/12/2020 13:08:50,
28.01755,0.3534122,10.6658,79870,97833,21/12/2020 13:08:50,
27.20206,0.3251973,11.34745,79870,97833,21/12/2020 13:08:50,
26.94921,0.2759204,12.49554,79870,97833,21/12/2020 13:08:50,
27.09119,0.2952527,13.52678,79870,97833,21/12/2020 13:08:50,
27.10277,0.4451945,14.5286,79870,97833,21/12/2020 13:08:51,
27.04746,0.4797003,14.68021,79870,97833,21/12/2020 13:08:51,
27.04746,0.4797003,14.68021,79870,97833,21/12/2020 13:08:51,
27.18354,0.4927034,14.94947,79870,97833,21/12/2020 13:08:51,
27.87971,0.4662297,15.946,79870,97833,21/12/2020 13:08:51,
28.53255,0.4005073,16.77893,79870,97833,21/12/2020 13:08:51,
29.28168,0.3269455,17.7227,79870,97833,21/12/2020 13:08:51,
29.93693,0.2661729,18.54666,79870,97833,21/12/2020 13:08:52,
30.59938,0.1253686,19.48674,79870,97833,21/12/2020 13:08:52,
30.59938,0.06048065,19.98566,79870,97833,21/12/2020 13:08:52,
30.59966,0.06048065,19.98594,79870,97833,21/12/2020 13:08:52,
30.59966,0.06048065,19.98594,79870,97833,21/12/2020 13:08:52,
30.52053,0.20015,20.69272,79870,97833,21/12/2020 13:08:52,
29.9616,0.2238801,21.59638,79870,97833,21/12/2020 13:08:52,
29.1621,0.3204106,22.49493,79870,97833,21/12/2020 13:08:53,
28.35728,0.3640126,23.17171,79870,97833,21/12/2020 13:08:53,
27.86664,0.3895986,23.55004,79870,97833,21/12/2020 13:08:53,
27.86664,0.3895986,23.55004,79870,97833,21/12/2020 13:08:53,
27.84007,0.3925949,23.56425,79870,97833,21/12/2020 13:08:53,
27.0263,0.4329673,23.89566,79870,97833,21/12/2020 13:08:53,
25.86173,0.4463265,24.22315,79870,97833,21/12/2020 13:08:54,
24.83523,0.3170737,24.41564,79870,97833,21/12/2020 13:08:54,
23.80812,0.3667231,24.53435,79870,97833,21/12/2020 13:08:54,
23.64072,0.3666687,24.55625,79870,97833,21/12/2020 13:08:54,
23.64072,0.3666687,24.55625,79870,97833,21/12/2020 13:08:54,
23.33983,0.3458432,24.52167,79870,97833,21/12/2020 13:08:54,
22.13666,0.3006798,24.3777,79870,97833,21/12/2020 13:08:54,
21.09592,0.3683902,24.18707,79870,97833,21/12/2020 13:08:55,
19.91638,0.4203571,23.95684,79870,97833,21/12/2020 13:08:55,
19.16048,0.419564,23.8066,79870,97833,21/12/2020 13:08:55,
19.16048,0.4195639,23.8066,79870,97833,21/12/2020 13:08:55,
19.16048,0.4195639,23.8066,79870,97833,21/12/2020 13:08:55,
18.56492,0.4318655,23.36063,79870,97833,21/12/2020 13:08:55,
18.33895,0.4709415,22.33331,79870,97833,21/12/2020 13:08:55,
18.21924,0.6392313,21.15429,79870,97833,21/12/2020 13:08:56,
17.82536,0.814212,20.24622,79870,97833,21/12/2020 13:08:56,
17.24078,0.8523343,19.60298,79870,97833,21/12/2020 13:08:56,
17.24078,0.8462495,19.71645,79870,97833,21/12/2020 13:08:56,
17.24078,0.8402966,19.82744,79870,97833,21/12/2020 13:08:56,
17.25002,0.8727541,19.09781,79870,97833,21/12/2020 13:08:56,
