PosX,PosY,PosZ,Orientation X,Orientation Y,Orientation Z,PlayerID,DateTime,
5.446084,-0.02131528,-35.04117,25.67582,33.99998,-7.104834E-07,34502,21/12/2020 0:01:49,
5.768043,-0.02062547,-33.22952,25.63641,9.749033,0,34502,21/12/2020 0:01:50,
5.943696,-0.01993459,-31.00527,25.63503,337.7835,1.420481E-06,34502,21/12/2020 0:01:50,
5.030613,-0.02007425,-29.00473,24.29078,9.265729,7.025252E-07,34502,21/12/2020 0:01:50,
6.170132,-0.01880455,-27.19666,24.13545,54.26529,-2.338898E-07,34502,21/12/2020 0:01:51,
6.404128,-0.01814723,-25.26739,24.13,324.2653,0,34502,21/12/2020 0:01:51,
6.043813,-0.01786536,-23.15377,24.1298,9.265285,-7.01638E-07,34502,21/12/2020 0:01:51,
6.410262,-0.01703334,-20.90746,24.1298,9.265285,-7.016382E-07,34502,21/12/2020 0:01:52,
6.776175,-0.01620251,-18.66444,24.12979,9.265285,-1.637156E-06,34502,21/12/2020 0:01:52,
7.142167,-0.01537156,-16.42093,24.1298,9.265285,0,34502,21/12/2020 0:01:52,
7.508453,-0.0145399,-14.17563,24.1298,9.265285,-7.01638E-07,34502,21/12/2020 0:01:52,
7.874049,-0.01370978,-11.93455,24.1298,9.265285,-7.016382E-07,34502,21/12/2020 0:01:53,
8.240657,-0.01287746,-9.687271,24.1298,9.265285,1.169397E-06,34502,21/12/2020 0:01:53,
8.605919,-0.01204807,-7.44824,24.1298,9.265285,-7.016382E-07,34502,21/12/2020 0:01:53,
8.997789,-0.01119852,-5.203686,24.23772,10.89861,1.170386E-06,34502,21/12/2020 0:01:54,
9.344929,-0.01038563,-2.978563,24.37981,349.1638,-9.373585E-07,34502,21/12/2020 0:01:54,
8.614889,-0.01036328,-0.8524043,24.68402,6.423776,-4.698165E-07,34502,21/12/2020 0:01:54,
10.37948,-0.008948207,-0.2189697,20.80694,126.2356,4.566697E-07,34502,21/12/2020 0:01:55,
11.06577,-0.008967578,-2.211142,15.55444,167.2936,1.107789E-07,34502,21/12/2020 0:01:55,
11.06586,-0.009250462,-3.322808,17.92457,205.194,0,34502,21/12/2020 0:01:55,
10.38601,-0.009491086,-2.370268,19.55894,347.9409,-9.060552E-07,34502,21/12/2020 0:01:55,
10.87118,0.006002307,-0.1590887,18.79076,20.11499,9.018406E-07,34502,21/12/2020 0:01:56,
12.67844,-0.01089311,0.9903719,18.04824,74.67072,0,34502,21/12/2020 0:01:56,
14.87298,-0.01731431,0.8083113,18.02014,78.4352,2.69344E-06,34502,21/12/2020 0:01:56,
17.10728,-0.01731437,1.195061,18.01915,83.70264,8.978083E-07,34502,21/12/2020 0:01:57,
19.38335,-0.01731431,1.29875,18.01913,88.21135,-1.795616E-06,34502,21/12/2020 0:01:57,
20.45856,-0.01731437,1.332247,18.01914,88.21673,8.978081E-07,34502,21/12/2020 0:01:57,
20.91488,-0.01731431,1.346454,18.01913,88.21673,2.693424E-06,34502,21/12/2020 0:01:58,
23.19294,-0.01731431,1.417379,18.01913,88.21673,2.693424E-06,34502,21/12/2020 0:01:58,
25.45777,-0.003825068,1.486454,18.06958,88.57873,0,34502,21/12/2020 0:01:58,
27.73434,0.07318717,1.494015,18.15613,90.29031,-8.985097E-07,34502,21/12/2020 0:01:58,
29.10872,0.1474484,1.479328,18.6415,90.94392,2.703135E-06,34502,21/12/2020 0:01:59,
29.82695,0.2052222,1.468581,18.94534,90.94392,2.708018E-06,34502,21/12/2020 0:01:59,
29.99182,0.2220626,1.465786,24.58929,91.25764,-9.389206E-07,34502,21/12/2020 0:01:59,
31.10773,0.27598,1.444047,33.69008,91.25764,0,34502,21/12/2020 0:02:00,
31.10773,0.27598,1.444047,33.69007,343.2577,0,34502,21/12/2020 0:02:00,
29.89247,0.1949444,1.847227,33.69007,316.2576,0,34502,21/12/2020 0:02:00,
27.85806,0.05987209,2.356001,33.69007,247.2855,0,34502,21/12/2020 0:02:01,
27.43996,0.08919758,0.4282007,33.69007,147.1579,0,34502,21/12/2020 0:02:01,
29.10721,0.1995407,-0.1472847,33.69007,99.21188,4.104433E-06,34502,21/12/2020 0:02:01,
29.97746,0.2673539,0.4759368,33.51893,25.97245,2.048147E-06,34502,21/12/2020 0:02:01,
29.97746,0.2673538,0.4759368,33.48898,25.97245,0,34502,21/12/2020 0:02:02,
29.97746,0.2673538,0.4759368,33.20316,25.97245,-2.040729E-06,34502,21/12/2020 0:02:02,
29.97746,0.2673538,0.4759368,33.6466,25.97245,4.102359E-06,34502,21/12/2020 0:02:02,
29.97746,0.2673538,0.4759368,33.4879,25.97245,-2.047413E-06,34502,21/12/2020 0:02:03,
29.97746,0.2673539,0.4759368,33.4879,25.97245,-2.047413E-06,34502,21/12/2020 0:02:03,
29.97746,0.2673538,0.4759368,33.4879,25.97245,-2.047413E-06,34502,21/12/2020 0:02:03,
30.11786,0.2634205,0.7039491,33.53265,29.57985,-6.145416E-06,34502,21/12/2020 0:02:04,
30.77613,0.2544411,2.70937,33.1767,14.35939,1.020056E-06,34502,21/12/2020 0:02:04,
31.14481,0.429199,4.921926,32.83056,7.961288,-1.016061E-06,34502,21/12/2020 0:02:04,
31.21991,0.6919323,7.150856,32.05696,356.391,2.014755E-06,34502,21/12/2020 0:02:04,
31.49583,0.6900759,9.328005,30.61733,17.77089,-9.920818E-07,34502,21/12/2020 0:02:05,
30.56786,0.6568007,11.24385,31.84005,319.6388,-1.130627E-06,34502,21/12/2020 0:02:05,
29.10304,0.4317684,12.37622,32.08414,300.3578,-3.274951E-06,34502,21/12/2020 0:02:05,
28.90184,0.4038805,12.49108,32.24731,300.3578,1.514225E-06,34502,21/12/2020 0:02:06,
28.90184,0.4038805,12.49108,32.25674,300.3578,1.009588E-06,34502,21/12/2020 0:02:06,
28.90184,0.4038805,12.49108,32.25708,300.3578,5.04796E-07,34502,21/12/2020 0:02:06,
28.90184,0.4038805,12.49108,32.25708,300.3578,5.04796E-07,34502,21/12/2020 0:02:07,
28.73272,0.373294,12.63826,32.32743,306.6277,1.768158E-06,34502,21/12/2020 0:02:07,
27.1705,0.3168502,13.77727,32.44333,306.3861,-5.058365E-07,34502,21/12/2020 0:02:07,
25.79371,0.4630657,15.24977,32.46563,330.3525,1.011923E-06,34502,21/12/2020 0:02:07,
25.55341,0.4377935,15.66727,32.3674,330.3525,1.516233E-06,34502,21/12/2020 0:02:08,
25.50229,0.4339045,15.75631,32.41372,330.3525,-2.022682E-06,34502,21/12/2020 0:02:08,
26.05693,0.3898323,15.92685,32.29618,77.95729,1.010027E-06,34502,21/12/2020 0:02:08,
26.22199,0.393635,15.9619,32.56422,78.30626,-1.013034E-06,34502,21/12/2020 0:02:09,
26.26499,0.3881389,16.03995,32.44886,27.204,5.058675E-07,34502,21/12/2020 0:02:09,
25.62961,0.4561281,17.26787,32.52187,288.0766,-2.025113E-06,34502,21/12/2020 0:02:09,
23.47775,0.3939077,17.89621,32.56894,286.3001,1.013087E-06,34502,21/12/2020 0:02:10,
21.57543,0.119432,18.74168,32.277,326.4971,1.009814E-06,34502,21/12/2020 0:02:10,
